gene
PDGFC (56034)
ELMO1 (9844)
MGLL (11343)
ID2 (3398)
SGCE (8910)
EFNA1 (1942)
ETS1 (2113)
DPP4 (1803)
SYTL2 (54843)
CHMP4C (92421)
CST3 (1471)
GSTM2 (2946)
SMARCA1 (6594)
AIF1 (199)
GPX7 (2882)
TCF4 (6925)
LAT2 (7462)
HOXB2 (3212)
CKB (1152)
PTPRM (5797)
PSMB8 (5696)
PCSK9 (255738)
CARD16 (114769)
LY96 (23643)
TMEM30B (161291)
CRMP1 (1400)
DDR1 (780)
COL16A1 (1307)
EMILIN1 (11117)
CCDC9B (388115)
FBXO17 (115290)
CHI3L1 (1116)
GPR87 (53836)
ASPH (444)
MLLT11 (10962)
TMC6 (11322)
WIPF1 (7456)
MDFI (4188)
TSPAN15 (23555)
IQANK1 (642574)
NCKAP1L (3071)
LPXN (9404)
PSCA (8000)
RCSD1 (92241)
VAV1 (7409)
ABI3BP (25890)
CD109 (135228)
GSN (2934)
DHRS2 (10202)
SRPX2 (27286)
PLP1 (5354)
MAP4K1 (11184)
GABRE (2564)
TMEM45B (120224)
IFI30 (10437)
CYP24A1 (1591)
F11R (50848)
TSPAN7 (7102)
CFI (3426)
FAM83A (84985)
MYO1B (4430)
FGFR2 (2263)
EMB (133418)
GPRC5B (51704)
MOXD1 (26002)
APBB1IP (54518)
RAI14 (26064)
DUSP23 (54935)
SQOR (58472)
SIRPA (140885)
FCGRT (2217)
NBL1 (4681)
RBPMS (11030)
GJB2 (2706)
STOM (2040)
HSH2D (84941)
KCNK1 (3775)
SLC7A8 (23428)
ALOX5AP (241)
ZSCAN18 (65982)
VGF (7425)
LY6E (4061)
USP41 (373856)
RTL8C (8933)
HKDC1 (80201)
RAB38 (23682)
CD22 (933)
PCDHGC3 (5098)
CTAG2 (30848)
RAB17 (64284)
MAGEA2B (266740)
PXDC1 (221749)
INAVA (55765)
PLAUR (5329)
IL7R (3575)
CYFIP2 (26999)
RAB31 (11031)
GLDC (2731)
NIBAN2 (64855)
PKDCC (91461)
NR2F1 (7025)
DUSP6 (1848)
LMNA (4000)
FERMT2 (10979)
CLIC3 (9022)
LY6D (8581)
SH2D4A (63898)
SCRN1 (9805)
SERPING1 (710)
SASH3 (54440)
PRTFDC1 (56952)
B4GALNT4 (338707)
HPGD (3248)
GULP1 (51454)
KRT23 (25984)
